,Currency,Year,Quarter,Rate,meanCurrency,sdCurrency,StandardRate
1469,SEK,2009,Q4,0.087332667,0.085915288,0.008354196,-0.657823592
1464,SEK,2010,Q4,0.093254667,0.085915288,0.008354196,-0.657823592
1468,SEK,2011,Q4,0.094306,0.085915288,0.008354196,-0.657823592
1481,SEK,2012,Q4,0.093655,0.085915288,0.008354196,-0.657823592
1453,SEK,2013,Q4,0.094887333,0.085915288,0.008354196,-0.657823592
1454,SEK,2014,Q4,0.085011667,0.085915288,0.008354196,-0.657823592
1494,SEK,2015,Q4,0.077543667,0.085915288,0.008354196,-0.657823592
1471,SEK,2016,Q4,0.090854,0.085915288,0.008354196,-0.657823592
1472,SEK,2006,Q3,0.073642,0.085915288,0.008354196,-0.657823592
1476,SEK,2007,Q3,0.073455,0.085915288,0.008354196,-0.657823592
1489,SEK,2008,Q3,0.083857667,0.085915288,0.008354196,-0.657823592
1493,SEK,2009,Q3,0.083777,0.085915288,0.008354196,-0.657823592
1463,SEK,2010,Q3,0.088838,0.085915288,0.008354196,-0.657823592
1467,SEK,2011,Q3,0.095962,0.085915288,0.008354196,-0.657823592
1480,SEK,2012,Q3,0.093896667,0.085915288,0.008354196,-0.657823592
1456,SEK,2013,Q3,0.098415667,0.085915288,0.008354196,-0.657823592
1460,SEK,2014,Q3,0.086221,0.085915288,0.008354196,-0.657823592
1496,SEK,2015,Q3,0.076151667,0.085915288,0.008354196,-0.657823592
1487,SEK,2016,Q3,0.089383667,0.085915288,0.008354196,-0.657823592
1484,SEK,2006,Q2,0.073973667,0.085915288,0.008354196,-0.657823592
1475,SEK,2007,Q2,0.073354,0.085915288,0.008354196,-0.657823592
1488,SEK,2008,Q2,0.084696333,0.085915288,0.008354196,-0.657823592
1492,SEK,2009,Q2,0.081602333,0.085915288,0.008354196,-0.657823592
1458,SEK,2010,Q2,0.088593,0.085915288,0.008354196,-0.657823592
1462,SEK,2011,Q2,0.097923333,0.085915288,0.008354196,-0.657823592
1466,SEK,2012,Q2,0.091010667,0.085915288,0.008354196,-0.657823592
1470,SEK,2013,Q2,0.099280667,0.085915288,0.008354196,-0.657823592
1459,SEK,2014,Q2,0.089945,0.085915288,0.008354196,-0.657823592
1495,SEK,2015,Q2,0.077560667,0.085915288,0.008354196,-0.657823592
1486,SEK,2016,Q2,0.084892667,0.085915288,0.008354196,-0.657823592
1483,SEK,2006,Q1,0.073398,0.085915288,0.008354196,-0.657823592
1474,SEK,2007,Q1,0.072977,0.085915288,0.008354196,-0.657823592
1478,SEK,2008,Q1,0.080593,0.085915288,0.008354196,-0.657823592
1491,SEK,2009,Q1,0.082972667,0.085915288,0.008354196,-0.657823592
1457,SEK,2010,Q1,0.089179667,0.085915288,0.008354196,-0.657823592
1461,SEK,2011,Q1,0.096266667,0.085915288,0.008354196,-0.657823592
1465,SEK,2012,Q1,0.094276667,0.085915288,0.008354196,-0.657823592
1482,SEK,2013,Q1,0.100217333,0.085915288,0.008354196,-0.657823592
1455,SEK,2014,Q1,0.093459,0.085915288,0.008354196,-0.657823592
1479,SEK,2015,Q1,0.079177667,0.085915288,0.008354196,-0.657823592
1485,SEK,2016,Q1,0.082571,0.085915288,0.008354196,-0.657823592
1527,SGD,2006,Q4,0.334931667,0.452929473,0.069339956,-0.657823592
1518,SGD,2007,Q4,0.336825333,0.452929473,0.069339956,-0.657823592
1531,SGD,2008,Q4,0.429902667,0.452929473,0.069339956,-0.657823592
1535,SGD,2009,Q4,0.439132667,0.452929473,0.069339956,-0.657823592
1530,SGD,2010,Q4,0.485689,0.452929473,0.069339956,-0.657823592
1507,SGD,2011,Q4,0.494210333,0.452929473,0.069339956,-0.657823592
1511,SGD,2012,Q4,0.509347333,0.452929473,0.069339956,-0.657823592
1499,SGD,2013,Q4,0.494199333,0.452929473,0.069339956,-0.657823592
1498,SGD,2014,Q4,0.487715,0.452929473,0.069339956,-0.657823592
1540,SGD,2015,Q4,0.468342667,0.452929473,0.069339956,-0.657823592
1514,SGD,2016,Q4,0.5841175,0.452929473,0.069339956,-0.657823592
1526,SGD,2006,Q3,0.337699667,0.452929473,0.069339956,-0.657823592
1517,SGD,2007,Q3,0.326231333,0.452929473,0.069339956,-0.657823592
1534,SGD,2008,Q3,0.378759333,0.452929473,0.069339956,-0.657823592
1538,SGD,2009,Q3,0.423877333,0.452929473,0.069339956,-0.657823592
1529,SGD,2010,Q3,0.475790333,0.452929473,0.069339956,-0.657823592
1510,SGD,2011,Q3,0.506899,0.452929473,0.069339956,-0.657823592
1523,SGD,2012,Q3,0.507506,0.452929473,0.069339956,-0.657823592
1502,SGD,2013,Q3,0.508611667,0.452929473,0.069339956,-0.657823592
1501,SGD,2014,Q3,0.478863,0.452929473,0.069339956,-0.657823592
1520,SGD,2015,Q3,0.464198333,0.452929473,0.069339956,-0.657823592
1503,SGD,2016,Q3,0.563273333,0.452929473,0.069339956,-0.657823592
1525,SGD,2006,Q2,0.344552333,0.452929473,0.069339956,-0.657823592
1516,SGD,2007,Q2,0.330270333,0.452929473,0.069339956,-0.657823592
1533,SGD,2008,Q2,0.371284667,0.452929473,0.069339956,-0.657823592
1537,SGD,2009,Q2,0.438838,0.452929473,0.069339956,-0.657823592
1528,SGD,2010,Q2,0.481956,0.452929473,0.069339956,-0.657823592
1509,SGD,2011,Q2,0.49461,0.452929473,0.069339956,-0.657823592
1522,SGD,2012,Q2,0.499945333,0.452929473,0.069339956,-0.657823592
1513,SGD,2013,Q2,0.521368333,0.452929473,0.069339956,-0.657823592
1500,SGD,2014,Q2,0.474344667,0.452929473,0.069339956,-0.657823592
1519,SGD,2015,Q2,0.486063333,0.452929473,0.069339956,-0.657823592
1506,SGD,2016,Q2,0.513669333,0.452929473,0.069339956,-0.657823592
1524,SGD,2006,Q1,0.350524667,0.452929473,0.069339956,-0.657823592
1515,SGD,2007,Q1,0.334065667,0.452929473,0.069339956,-0.657823592
1532,SGD,2008,Q1,0.358866333,0.452929473,0.069339956,-0.657823592
1536,SGD,2009,Q1,0.460639,0.452929473,0.069339956,-0.657823592
1539,SGD,2010,Q1,0.457242667,0.452929473,0.069339956,-0.657823592
